"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","Y"
0.9228,0.9806,0.89,0.842,-0.9814,-0.9164,0.939,-0.8078,0.9182,0.9488,0.9344,-0.8514,-0.9828,0.959,0.7962,-0.7134,-0.9566,-0.9008,-0.9986,-0.9216,0.7914,-0.933,0.8456,-0.9294,-0.8156,-0.9882,0.9712,0.8114,0.9494,0.835,-17.6375995330241
-0.9034,-0.7232,0.7752,0.8128,0.998,0.8086,-0.588,-0.9382,-0.97,-0.9734,0.9482,0.9704,-0.9806,-0.7532,-0.9114,-0.7954,0.9932,0.9162,-0.8916,0.7756,-0.7148,0.786,-0.5622,-0.6356,0.637,-0.8696,0.958,0.9994,0.626,0.7968,45.6341499359959
-0.8998,-0.7694,-0.988,-0.9966,0.881,-0.9942,0.681,-0.9836,0.9916,-0.9942,-0.8008,0.8922,-0.9956,-0.8876,-0.71,-0.7466,-0.9696,0.7812,-0.8256,-0.8954,0.8652,0.9114,-0.8588,-0.9554,0.7922,-0.9658,0.851,-0.7796,0.9418,-0.9566,-18.3694304124667
-0.8684,0.9948,-0.9652,0.7366,0.8014,-0.9456,-0.9826,0.9108,0.9942,-0.8644,0.907,-0.8206,-0.8082,-0.9892,0.8188,0.9508,-0.9652,-0.7784,0.8914,0.8684,0.994,-0.9758,-0.9836,-0.9644,0.934,-0.9036,0.8838,-0.9762,0.9704,-0.9854,-48.024625769985
0.8172,-0.8818,-0.99,0.9944,-0.9402,0.933,-0.947,0.9172,0.973,-0.9866,-0.943,-0.6812,0.5214,0.8828,-0.9328,-0.7772,-0.8478,-0.9926,-0.6972,0.7016,0.8358,0.8276,0.957,-0.6498,0.978,0.8838,-0.9088,-0.8132,0.8172,0.8072,44.7510908978548
-0.947,0.9174,0.9972,-0.7446,0.9846,0.8172,0.9594,0.828,-0.8404,-0.9242,0.92,0.9602,0.993,0.9554,-0.772,-0.9888,0.9282,-0.892,-0.8746,-0.8966,-0.8462,0.876,0.7984,-0.9996,0.6798,-0.9492,-0.9694,0.9466,0.9752,-0.9706,10.5659590120107
0.8664,-0.9684,-0.9678,0.965,0.958,-0.9786,-0.9472,0.9914,0.9594,0.9772,-0.965,0.7682,0.9506,0.9748,-0.7252,0.9472,0.9818,0.6596,-0.9914,0.9632,-0.9596,-0.9658,-0.955,-0.9876,0.9954,-0.6706,0.6826,-0.8986,0.7892,0.9756,-9.71049428968149
-0.8156,-0.7802,0.9712,-0.9942,-0.79,0.9718,-0.9062,0.9962,-0.9014,-0.8914,0.801,-0.8148,-0.9728,0.9218,-0.9532,-0.9676,0.5324,0.865,0.8374,-0.962,0.945,-0.9878,-0.9134,0.9496,0.7232,0.9322,0.8732,0.968,0.9352,0.9964,14.7903176852066
0.9852,0.8934,0.7104,-0.9136,-0.7302,0.9816,-0.9694,-0.9414,0.9204,0.9874,0.9768,0.8764,0.9386,0.904,-0.8742,0.8952,-0.7974,0.9908,-0.8074,0.7062,-0.907,0.9864,0.9486,-0.7464,0.7872,0.9902,0.772,0.9802,0.9598,-0.964,21.5009069579276
-0.8682,-0.9058,-0.9872,0.6766,-0.969,-0.9774,0.8752,-0.933,-0.8378,-0.9784,-0.7402,-0.7782,0.6814,0.9714,-0.8874,0.917,0.725,0.9562,0.9692,-0.802,0.7506,-0.981,0.8684,-0.9602,-0.7244,0.7714,-0.9864,0.8534,0.9474,0.7034,-17.3471816825636
0.8998,-0.906,-0.9022,-0.7938,-0.8088,0.995,-0.8732,-0.951,-0.9674,-0.9958,0.4438,0.8378,-0.9092,-0.811,0.8568,-0.99,0.9814,-0.9828,0.694,0.891,-0.9296,-0.7046,0.921,0.9644,-0.8704,-0.5214,-0.791,-0.9078,0.881,-0.9354,10.2140282569833
-0.95,0.9952,-0.9506,0.749,-0.9914,-0.8464,0.9166,0.9572,0.9502,0.9926,0.9728,0.873,0.809,-0.7796,0.9602,-0.7062,-0.867,0.9706,0.933,-0.9506,-0.9916,-0.9614,0.9502,0.9122,-0.8918,-0.9734,0.9574,0.998,-0.9638,-0.8568,-38.4036114144586
0.9216,-0.8228,0.798,0.9486,0.904,0.9696,-0.9102,0.9076,0.8674,-0.965,0.9774,-0.8532,0.6966,-0.829,0.997,0.9774,0.9122,0.9522,-0.936,0.846,0.9624,0.9092,-0.8562,0.8332,0.8508,0.911,-0.827,0.9516,-0.8992,0.7448,56.4917022235052
-0.7972,-0.8862,0.8026,0.9354,-0.997,0.8064,-0.949,-0.842,0.9188,-0.737,-0.8918,0.9472,0.8888,-0.912,-0.8582,-0.8388,-0.9204,0.9194,0.419,0.8642,0.9046,-0.8278,-0.7934,0.9502,0.8022,-0.835,-0.8212,0.8226,0.909,-0.905,23.9349727245349
0.8086,0.7926,0.9572,-0.7526,0.9296,-0.9354,0.997,0.947,0.9814,-0.8262,0.9554,-0.9848,-0.9848,-0.9524,0.8626,-0.8118,0.9538,0.9052,0.7814,0.8532,0.9888,0.9338,0.8174,0.9794,0.9874,-0.9022,0.6452,0.6458,-0.8452,-0.8826,1.63015823941367
0.9472,-0.9268,0.9944,0.923,-0.9358,-0.726,0.9046,-0.827,-0.9518,-0.4158,0.9114,0.8482,0.9838,0.9016,0.902,0.9674,-0.992,-0.899,-0.8084,0.9344,-0.7714,-0.8242,0.8442,0.995,0.9594,-0.9756,-0.6254,0.8396,-0.9754,0.894,56.9851336941733
-0.9026,0.8124,-0.887,-0.9718,0.546,0.949,0.623,-0.953,0.9696,0.9906,0.9634,0.8594,-0.9524,-0.9078,-0.8718,0.9252,0.8656,-0.9056,-0.8686,-0.9132,0.897,-0.9454,0.985,-0.8084,0.9678,0.9734,-0.9528,0.9858,-0.9828,-0.8174,16.2018691366248
-0.8798,0.886,0.9594,0.8844,-0.8914,-0.8862,-0.3546,0.9666,-0.9846,0.9664,0.9064,-0.8308,-0.835,-0.8056,-0.9736,-0.9328,0.6512,-0.9576,-0.8714,0.6462,0.7432,0.8578,-0.9358,0.9714,-0.9984,0.7658,-0.9878,-0.9776,-0.9548,-0.951,4.47132974428643
-0.9332,-0.9506,0.8986,-0.6846,0.9992,-0.8516,-0.9632,-0.8356,-0.9808,0.9112,0.4922,-0.6848,0.5412,0.9604,0.9976,-0.8496,0.7654,0.6416,-0.9944,0.9072,-0.9852,-0.948,0.8992,-0.6034,0.985,0.8912,-0.6242,0.677,0.9714,-0.7142,53.6876712075278
-0.9974,-0.9462,-0.9112,-0.9924,-0.922,0.909,-0.5418,0.7438,0.9,0.9144,-0.8676,0.9868,0.847,0.921,0.928,-0.7604,-0.8798,-0.9794,0.8474,-0.8144,0.901,0.9262,-0.898,-0.9624,0.9922,-0.89,0.9878,0.99,-0.9542,0.967,2.24686578446268
-0.9068,-0.9096,-0.9344,-0.9906,0.9776,0.9642,0.9988,0.907,0.9194,-0.8026,0.9416,-0.983,0.5366,-0.8126,-0.9078,0.9212,0.7916,-0.9646,-0.7578,0.9212,-0.904,0.8138,-0.6642,0.7784,-0.999,0.9074,-0.9836,-0.7336,0.957,0.9272,7.35982112698441
0.9442,-0.986,0.9804,0.9428,0.9274,0.8916,-0.646,0.646,-0.836,-0.9048,0.917,0.925,-0.9392,0.9894,0.9704,-0.9042,-0.8424,0.5588,-0.9588,-0.9746,0.8938,-0.8304,0.9314,-0.9384,-0.938,0.8814,-0.9166,-0.9568,-0.8742,0.9736,69.3303400705969
0.9542,0.9984,-0.863,0.8884,0.8838,0.933,0.953,-0.9644,-0.5876,0.9824,-0.917,0.972,0.7716,0.9946,0.8124,-0.9106,0.964,-0.7508,-0.9662,0.938,0.872,-0.6452,0.9632,0.7546,0.9756,0.8472,0.9252,0.5492,0.858,-0.7442,14.0706902113058
-0.945,0.884,0.9908,0.9652,0.8186,0.859,0.9674,-0.9984,0.866,0.8636,-0.935,-0.8006,-0.722,0.837,0.714,-0.955,0.8968,0.6736,0.6962,0.8912,-0.8418,-0.5826,0.9684,-0.675,0.9832,0.9684,-0.9442,-0.8186,-0.9636,0.9836,71.1832579401786
-0.747,0.954,0.7918,-0.9096,0.9532,-0.8028,-0.908,-0.7954,0.8666,-0.91,-0.9632,0.6854,-0.9598,-0.5326,0.8586,-0.7216,-0.7988,-0.9226,0.811,0.8254,0.826,0.8488,-0.6502,-0.8066,-0.9706,0.82,-0.873,0.9252,0.9834,0.9302,8.50491005155359
-0.6064,-0.9276,-0.9524,0.9476,0.916,0.6924,-0.8718,0.9166,-0.936,0.9784,-0.9022,-0.7166,0.7464,-0.7146,0.9998,-0.914,-0.9076,-0.989,-0.9438,0.721,-0.693,-0.9222,0.9434,-0.8192,-0.97,-0.8228,0.9938,0.9178,-0.8874,0.8168,8.24083190111605
0.9086,0.925,0.8334,0.776,0.9438,-0.9678,-0.8404,-0.9868,-0.8442,0.823,-0.7498,0.9494,0.9642,0.8878,-0.8882,0.9532,-0.6402,0.882,0.9494,-0.8772,-0.9612,0.8236,0.7564,0.743,-0.8766,-0.5798,0.9916,-0.992,-0.9798,-0.5534,2.13004525413179
